Talaat Moustafa Group,https://eg.linkedin.com/company/talaatmoustafagroup?trk=public_jobs_sub-nav-cta-optional-url,"New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/customer-service-at-talaat-moustafa-group-4293469473?position=4&pageNum=1&refId=tmq9BNsQeGCsYSv7fP7zcA%3D%3D&trackingId=iE3LWF53wT563plu1M2jaw%3D%3D,Customer Service,Collaborate with internal departments to resolve customer issues and improve service delivery.,Full-Time,On-Site,"Service Delivery, Resolving Customer Problems",Collaboration
بنك التعمير والإسكان HD Bank,https://eg.linkedin.com/company/%D8%A8%D9%86%D9%83-%D8%A7%D9%84%D8%AA%D8%B9%D9%85%D9%8A%D8%B1-%D9%88%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D8%A7%D9%86-hd-bank?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/fresh-graduate-at-%D8%A8%D9%86%D9%83-%D8%A7%D9%84%D8%AA%D8%B9%D9%85%D9%8A%D8%B1-%D9%88%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D8%A7%D9%86-hd-bank-4288923473?position=5&pageNum=1&refId=tmq9BNsQeGCsYSv7fP7zcA%3D%3D&trackingId=%2F9pX6X8SPTT%2BgfqTVEbMlw%3D%3D,Fresh Graduate,Bachelor's degree in Business or equivalent majors Graduate of 2023-2024-2025,Full-Time,On-Site,,
ALEXBANK,https://eg.linkedin.com/company/bank-of-alexandria?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/financial-analyst-at-alexbank-4301786668?position=6&pageNum=1&refId=tmq9BNsQeGCsYSv7fP7zcA%3D%3D&trackingId=Oe2BOpIksR6iBUJ%2FjoZxIA%3D%3D,Financial Analyst,"We are seeking a highly motivated and detail-oriented financial Analyst to support in budgeting process and financial plans/models creations. The successful candidate will work with various internal stakeholders, ensuring seamless collaboration, analysis, and optimization of financial models.",Full-Time,,"Budget Process, Financial Planning, Financial Modeling","Detail Oriented, Collaboration"
Juhayna Food Industries,https://eg.linkedin.com/company/juhayna-food-industries?trk=public_jobs_sub-nav-cta-optional-url,"6th of October, Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/team-leader-projects-at-juhayna-food-industries-4293179914?position=8&pageNum=1&refId=tmq9BNsQeGCsYSv7fP7zcA%3D%3D&trackingId=GAXhWX91qWcwc5vSMbTYng%3D%3D,Team Leader - Projects,"Manage day-to-day project activities, including scheduling, resource planning, budgeting, and risk management.",Full-Time,On-Site,"Resource Planning, Risk Management, Budgeting","Management, Scheduling"
Julphar,https://ae.linkedin.com/company/gulf-pharmaceutical-industry-julphar-?trk=public_jobs_sub-nav-cta-optional-url,Egypt,https://eg.linkedin.com/jobs/view/accountant-at-julphar-4277254473?position=1&pageNum=2&refId=0iZobdIYTa94OMBt9kfFvw%3D%3D&trackingId=RZe6MiLBeKhgGlFUexNB7Q%3D%3D,Accountant,The Accountant will handle the full spectrum of financial and cost accounting role for the company operations.,Full-Time,Hybrid,"Cost Accounting, Accounting",Operations
Al Ahly Momkn,https://eg.linkedin.com/company/alahlymomknfore-payments?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/product-manager-at-al-ahly-momkn-4291307248?position=2&pageNum=2&refId=0iZobdIYTa94OMBt9kfFvw%3D%3D&trackingId=xoXjTXxQUArqSHObOF7HUA%3D%3D,Product Manager,"A subsidiary of Al Ahly Capital, Al Ahly Momkn is a fast-evolving Fin-tech company committed to promoting secure, convenient & seamless payment solutions and financial services for business owners, service providers and consumers across Egypt.",Full-Time,,"Financial Services, Service Provider",
Julphar,https://ae.linkedin.com/company/gulf-pharmaceutical-industry-julphar-?trk=public_jobs_sub-nav-cta-optional-url,Egypt,https://eg.linkedin.com/jobs/view/hr-office-admin-specialist-at-julphar-4277251775?position=5&pageNum=2&refId=0iZobdIYTa94OMBt9kfFvw%3D%3D&trackingId=K6ShLiRm9kPbQwgK8ChGLQ%3D%3D,HR & Office Admin Specialist,General Administrative tasks such as arranging & overseeing meeting schedules and agendas.,Full-Time,Remote,General Administrative Support,Scheduling
Colas Rail Egypt كولاس ريل مصر,https://eg.linkedin.com/company/colas-rail-egypt?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/receptionist-travel-coordinator-at-colas-rail-egypt-%D9%83%D9%88%D9%84%D8%A7%D8%B3-%D8%B1%D9%8A%D9%84-%D9%85%D8%B5%D8%B1-4263881204?position=6&pageNum=2&refId=0iZobdIYTa94OMBt9kfFvw%3D%3D&trackingId=FwtjXgZomIJgKaXNI1gjSg%3D%3D,Receptionist & Travel Coordinator,Guest Management: Direct guests to their respective offices without leaving the desk.,Full-Time,On-Site,,Management
Colas Rail Egypt كولاس ريل مصر,https://eg.linkedin.com/company/colas-rail-egypt?trk=public_jobs_sub-nav-cta-optional-url,"Qesm 1st 6 October, Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/receptionist-at-colas-rail-egypt-%D9%83%D9%88%D9%84%D8%A7%D8%B3-%D8%B1%D9%8A%D9%84-%D9%85%D8%B5%D8%B1-4285866494?position=7&pageNum=2&refId=0iZobdIYTa94OMBt9kfFvw%3D%3D&trackingId=xUM6%2FjiSMAVvPyG4FYER%2BQ%3D%3D,Receptionist,"Welcome and assist visitors, clients, and partners in a professional and courteous manner.",Full-Time,On-Site,,Professionalism
Evyap,https://tr.linkedin.com/company/evyap?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/admin-assistant-at-evyap-4291705843?position=3&pageNum=3&refId=LxehBiedsKYDqWndZ7oE5g%3D%3D&trackingId=4C4xELlq6A7xtKdUZ2zIWg%3D%3D,Admin Assistant,Translate any required documents,Full-Time,Hybrid,Translations,
Colas Rail Egypt كولاس ريل مصر,https://eg.linkedin.com/company/colas-rail-egypt?trk=public_jobs_sub-nav-cta-optional-url,"Qesm Heliopolis, Cairo, Egypt",https://eg.linkedin.com/jobs/view/document-controller-1-at-colas-rail-egypt-%D9%83%D9%88%D9%84%D8%A7%D8%B3-%D8%B1%D9%8A%D9%84-%D9%85%D8%B5%D8%B1-4247921547?position=7&pageNum=3&refId=LxehBiedsKYDqWndZ7oE5g%3D%3D&trackingId=JlUjerJiyHWTElQf710%2Bdg%3D%3D,Document Controller 1,Ability to work as a team player,Full-Time,On-Site,,
Unilever,https://uk.linkedin.com/company/unilever?trk=public_jobs_sub-nav-cta-optional-url,"6th of October, Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/cairo-extensions-k-sm-asm-at-unilever-4301771493?position=8&pageNum=3&refId=LxehBiedsKYDqWndZ7oE5g%3D%3D&trackingId=%2Bl3kvogDaMIDrXPUeYfHMg%3D%3D,Cairo Extensions & K-SM ASM,"n individual you are the one responsible for your own wellbeing and delivering high standards of work. You must also focus on the Consumer and what they need. You are humble and have your head up, looking around to interpret evidence and data smartly, spot issues and opportunities to make things better.",Full-Time,Hybrid,,
